Source	Station	IBMR_strata	IBMR_strata2	Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12
20mm	706	5	6	1995	5	24	0	169.3936046	0	92.06139091	0	635.6293353	1.613272425	483.9817274	2073.37772	0	0	0
20mm	706	5	6	1995	6	7	0	268.5931335	0	1831.94291	0	575.7534862	11.01920548	550.9602738	2128.910498	0	0	0
20mm	706	5	6	1995	6	22	0	703.9656165	0	365.9778854	0	582.4262536	12.03360028	529.4784124	1960.995502	0	0	0
20mm	706	5	6	1995	7	10	0	728.8480545	0	3398.271407	0	343.5997971	13.88282008	0	3002.853984	0	0	0
20mm	706	5	6	1995	7	18	0	300.0388864	0	1890.663557	0	93.34543132	4.445020539	14.81673513	367.1586965	0	0	0
20mm	706	5	6	1995	8	1	0	1495.293597	0	1361.369796	0	77.45405681	54.50470664	28.6866877	277.1134032	7.171671926	0	0
20mm	707	2	3	1995	4	25	0	106.1262756	0	40.24544206	0	738.1672057	1.17918084	518.8395695	3070.586907	0	36.17726817	0
20mm	707	2	3	1995	5	9	0	163.906632	0	46.83046628	0	683.7248077	4.683046628	1311.253056	3881.309045	0	0	0
20mm	707	2	3	1995	5	24	0	146.6088228	0	104.4669312	0	1124.000975	0	716.754245	4269.248921	0	0	0
20mm	707	2	3	1995	6	6	0	147.9983152	0	49.33277175	0	690.6588045	5.638031057	958.4652797	2261.414257	7.047538821	0	0
20mm	707	2	3	1995	6	22	0	266.30469	0	227.9359281	0	611.978621	11.4876533	208.8664236	2228.187006	0	32.04010937	0
20mm	707	2	3	1995	7	10	0	692.3688493	0	18534.1815	0	241.4414449	3.550609483	0	1014.054069	0	0	0
20mm	707	2	3	1995	7	18	0	146.1309672	0	1105.590816	0	72.88507498	4.690623638	0	236.4074314	0	0	0
20mm	707	2	3	1995	8	1	0	4908.216917	0	3302.474236	0	79.7273814	129.5569948	0	530.1870863	16.60987112	0	0
20mm	711	2	2	1995	4	25	0	72.45181301	0	48.30120867	0	536.1434162	3.62259065	338.1084607	3083.549161	0	0	0
20mm	711	2	2	1995	5	9	0	330.9172053	0	252.1273945	0	926.5681747	6.303184862	1260.636972	8789.160973	0	0	0
20mm	711	2	2	1995	5	23	0	164.3068755	0	62.59309544	0	1017.137801	0	625.9309544	2576.331808	0	0	0
