"","Scenario","Region","MeanBiomass","sdbiomass","MeanU95","MeanL95","GeoMeanBiomass","sdgio","lower","upper","Year"
"47","Noaction","SW Suisun",2.98792389852848,0.812473025484882,5.4859434858321,1.52906829826538,2.90427235686079,0.245324095334909,2.27245054402574,3.71176303264368,"2016"
"48","Noaction","Suisun Marsh",467.029163117067,487.296269349028,421.278331961684,145.242853097732,251.844131736858,1.13815836372279,80.6930142884651,786.009386928536,"2016"
"49","fallx2","Confluence",7489.17975734668,6298.99174488348,7855.2658703055,3734.70932880013,5363.94053117001,0.821047736503872,2359.97527478533,12191.5929922383,"2016"
"50","fallx2","NE Suisun",113.034517556905,138.003250536561,94.4001176226139,38.0678551831746,60.9638551951132,1.07892003057376,20.7254231916866,179.325247348461,"2016"
"51","fallx2","NW Suisun",19.6260771356189,22.4528971042553,20.9038269318592,6.13165948273156,11.5347672751334,0.98231329711029,4.31912320033478,30.8050615646193,"2016"
"52","fallx2","SE Suisun",78.8175884526376,100.304183595577,66.9840619808537,26.8186494711833,43.0447428337368,1.0475387329773,15.1001000972557,122.704477035836,"2016"
"53","fallx2","SW Suisun",2.77262301186278,0.818033068376865,5.25398985564077,1.34827251088718,2.68903922782512,0.24874881703539,2.09684775595145,3.44847733854729,"2016"
"54","fallx2","Suisun Marsh",476.162123954767,478.766101514469,472.970408358147,160.737222882103,279.885538112396,1.03201141899731,99.7203040948526,785.55631328554,"2016"
"55","10800-3-m","Confluence",18529.0668628104,18390.3749431107,13856.4461673571,6257.75105542476,9249.40173313029,1.41490809380065,2247.12310510844,38071.5378816352,"2024"
"56","10800-3-m","NE Suisun",441.92963267499,687.605556248252,194.393449682352,79.6690243676237,125.727505970302,1.86463315162535,19.4818597309074,811.391005573991,"2024"
"57","10800-3-m","NW Suisun",78.8662958310016,140.363756675219,42.6308290949979,12.2056748019204,23.0356298362483,1.6985268525954,4.21443394893375,125.910204877432,"2024"
"58","10800-3-m","SE Suisun",296.356697522082,461.627404555323,135.951589494488,56.5305636146025,88.5668991041819,1.78101427644389,14.9206164670055,525.721952191201,"2024"
"59","10800-3-m","SW Suisun",5.45985127877364,5.54907518082838,8.03230784491677,2.21641210908783,4.25247574176538,0.606156014881436,2.31948534246747,7.7963630996977,"2024"
"60","10800-3-m","Suisun Marsh",1842.21817381661,2622.04425583056,1019.15863109225,343.970141847275,610.048201599956,1.60295359051401,122.803360693298,3030.52625086384,"2024"
"61","10800-60d","Confluence",17651.1800430787,20582.7616695688,11522.2728551165,5314.91881012455,7762.23287602095,1.44610112618257,1827.90208643516,32962.5200762731,"2024"
"62","10800-60d","NE Suisun",436.129096275732,728.241840847391,157.09031956685,64.8660843378395,102.072630436107,1.91152222069153,15.091963782158,690.355611405815,"2024"
"63","10800-60d","NW Suisun",79.4838409782076,147.581425729672,36.5216113093157,10.6821071783813,20.0071329606258,1.75198733213646,3.46981585860077,115.362136094904,"2024"
"64","10800-60d","SE Suisun",293.538782560818,484.798556357384,112.85002715181,46.9950570010786,73.605346912428,1.83131696048271,11.7917567976148,459.452072077571,"2024"
"65","10800-60d","SW Suisun",5.50125729084176,5.87464638101182,7.80809360532123,2.19478907146814,4.16093754277805,0.642562794918815,2.18841519108241,7.91138779581241,"2024"
"66","10800-60d","Suisun Marsh",1857.53102363604,2668.36747768749,931.302852483561,316.53024296126,558.934239587293,1.67627947358674,104.559088654162,2987.85584499822,"2024"
"67","10800-b","Confluence",19895.9715028509,19572.5328641417,16315.265856886,7287.45796670544,10849.8092120964,1.29572694307682,2969.58007110124,39641.416335084,"2024"
"68","10800-b","NE Suisun",466.677574738979,713.62043146414,235.203653359932,95.6679147761254,151.618100359813,1.72457001716469,27.0258778107004,850.593957307716,"2024"
"69","10800-b","NW Suisun",82.8736793391744,146.344319313264,47.5478708075114,13.4207340478288,25.4886032395939,1.63374257380534,4.97531580344166,130.578423716547,"2024"
"70","10800-b","SE Suisun",310.015104442183,475.80046353019,159.795821822678,66.1848289827199,104.052285194932,1.65741486713267,19.8356068406543,545.830442257863,"2024"
"71","10800-b","SW Suisun",5.49578981781072,5.90958168511019,7.90041305485401,2.12502200134649,4.13755299189525,0.648880495452397,2.16241154053792,7.91678384979519,"2024"
"72","10800-b","Suisun Marsh",1886.71888785221,2646.3629166166,1122.18853571374,374.576533973642,667.71532339872,1.52292448816267,145.610817928805,3061.88619391897,"2024"
"73","15000-3-m","Confluence",42190.9673801622,38348.8103098709,25764.3294684942,11051.3444702437,16727.583295738,1.77602307270624,2832.14954117626,98798.4705071901,"2024"
"74","15000-3-m","NE Suisun",1112.92551308519,1249.73943094567,443.482513635895,171.566757619641,279.086319325539,2.29197344506526,28.2063654364533,2761.40411674644,"2024"
"75","15000-3-m","NW Suisun",161.029287628197,207.468363227385,73.4477344424666,20.5463823921538,39.0173399495855,2.10830388867086,4.73841301525856,321.279046769301,"2024"
"76","15000-3-m","SE Suisun",688.266671031367,824.946500172263,284.174226674367,114.219309702529,181.993994889745,2.1660445907917,20.8619953764738,1587.66280876854,"2024"
"77","15000-3-m","SW Suisun",10.2230388453992,9.98446166427454,13.8274523761362,3.5295346196185,7.03395231121209,0.86105070268069,2.97337613082179,16.6398339596314,"2024"
"78","15000-3-m","Suisun Marsh",2863.09007567935,3202.10719088389,1829.6532414047,585.493279811362,1062.24742151057,1.68868340764244,196.263617730518,5749.25499465308,"2024"
"79","15000-60d","Confluence",37077.4707286981,41733.7319411362,17657.9382272337,7887.02938670371,11695.1511648994,1.81441626685773,1905.52594806326,71778.9022547105,"2024"
"80","15000-60d","NE Suisun",949.503783316893,1319.1737719008,251.221693378628,102.032580309862,162.046684133892,2.32682348553054,15.8166151908704,1660.22423394017,"2024"
"81","15000-60d","NW Suisun",142.421021577193,202.793143522509,54.8873915602448,16.0616256098571,30.0094064549173,2.09126439455243,3.70708734644666,242.930471179656,"2024"
"82","15000-60d","SE Suisun",606.402399470181,868.70029528087,172.662420170062,71.1540865782356,111.987177334334,2.21492453597423,12.2247164483177,1025.88292663732,"2024"
"83","15000-60d","SW Suisun",9.2384265324781,10.2760076495311,11.3527137741184,3.06880464493386,5.92386852985655,0.900798705081647,2.40654232713899,14.5820075397319,"2024"
"84","15000-60d","Suisun Marsh",2702.56687809791,3271.86582795468,1352.73550396385,448.761801281122,799.533406313779,1.82587934061743,128.785595957817,4963.70469894083,"2024"
"85","15000-b","Confluence",33499.2435694563,40340.5921380799,14547.5764334594,6612.67654315545,9715.61902649778,1.83208481290263,1555.27127925429,60692.468463318,"2024"
"86","15000-b","NE Suisun",909.166465388186,1335.60663299092,208.601115287602,84.9842387846478,134.679320515884,2.37419888161541,12.537167938706,1446.77964459749,"2024"
"87","15000-b","NW Suisun",136.871116416803,203.263461126045,47.8784630340776,14.2175141554724,26.4125056197815,2.11267560276856,3.1936421104752,218.440397822531,"2024"
"88","15000-b","SE Suisun",581.062538976078,863.903390896404,146.611373686215,60.4625076435025,95.0219180823693,2.25496918694054,9.96559234757594,906.033941700292,"2024"
"89","15000-b","SW Suisun",8.98900304686779,10.2932229031337,10.9377912201411,3.00486597190113,5.74853357399826,0.891721718114594,2.35660747340959,14.0225466583852,"2024"
"90","15000-b","Suisun Marsh",2665.51838218974,3321.6189482914,1222.99558669885,409.45148538863,726.259301277065,1.87501697737847,111.373580220692,4735.88594033055,"2024"
"91","21000","Confluence",52381.2770853139,45317.5099938183,31369.987082058,13217.4528987208,20160.8651340968,1.86335709049949,3127.97636022156,129943.591685729,"2024"
"92","21000","NE Suisun",3380.42299606798,4025.34045592561,787.598224152459,288.781892611583,480.582819847839,2.876246866406,27.078842650278,8529.16240607977,"2024"
"93","21000","NW Suisun",411.673014415412,444.146964251847,116.641523429813,32.2836957685754,61.8544512850286,2.66680704473535,4.29725746572991,890.329046905762,"2024"
"94","21000","SE Suisun",1874.86678820272,2064.53056387218,593.171980708651,222.923116776096,366.088219049825,2.61705092303065,26.7309860031703,5013.67903567708,"2024"
