scenario,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-b,10800-b,10800-b,10800-b,10800-b,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-b,15000-b,15000-b,15000-b,15000-b,21000,21000,21000,21000,21000,Noaction,Noaction,Noaction,Noaction,Noaction,fallx2,fallx2,fallx2,fallx2,fallx2
region,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-22,7684.61,60442.15,35415.91,25695.37,6922.93,7684.61,60442.27,35422.86,25695.37,6930.06,7684.61,60442.43,35418.24,25695.37,6926.21,7684.61,60444.43,35411.18,25695.37,6916.81,7684.61,60442.51,35410.20,25695.37,6918.27,7684.61,60444.27,35424.73,25695.37,6931.36,7684.61,60446.78,35418.36,25690.40,6922.98,7684.61,60441.32,35419.50,25695.37,6927.10,7684.61,60442.38,35402.85,25695.37,6908.74
2024-05-23,7694.38,61024.10,36479.67,25606.45,7457.70,7694.38,61023.91,36477.99,25606.45,7456.82,7694.38,61022.13,36473.47,25606.45,7454.51,7694.38,61018.86,36478.97,25589.33,7465.68,7694.38,61023.19,36474.44,25592.36,7457.35,7694.38,61020.80,36471.11,25590.83,7456.40,7694.38,61030.77,36479.88,25562.29,7459.24,7694.38,61020.62,36475.04,25612.55,7456.15,7694.38,61019.33,36473.84,25612.55,7454.21
2024-05-24,7703.99,61616.81,37547.76,25714.66,7977.61,7703.99,61636.08,37563.64,25714.66,7975.22,7703.99,61615.45,37545.94,25714.66,7978.37,7703.99,61651.32,37580.47,25713.02,7981.66,7703.99,61624.36,37554.57,25713.02,7983.17,7703.99,61661.67,37586.82,25713.02,7978.09,7703.99,61639.93,37557.78,25709.74,7979.02,7703.99,61634.68,37570.73,25716.32,7981.82,7703.99,61633.01,37560.49,25716.32,7970.34
2024-05-25,7694.54,60959.88,36515.32,25714.62,7542.32,7694.54,60974.28,36530.30,25714.62,7545.11,7694.54,60964.42,36513.19,25714.62,7537.89,7694.54,60995.35,36539.27,25714.62,7542.10,7694.54,60981.11,36521.01,25714.62,7540.10,7694.54,61007.36,36553.62,25714.62,7545.89,7694.54,61007.78,36542.57,25714.62,7545.21,7694.38,60976.94,36536.18,25714.62,7543.70,7694.38,60966.67,36524.31,25714.62,7541.55
2024-05-26,7684.09,60630.94,35623.87,25626.02,6958.31,7684.09,60651.43,35641.84,25626.02,6957.72,7684.09,60637.34,35632.36,25626.02,6962.57,7684.09,60674.32,35669.17,25639.17,6963.08,7684.09,60667.10,35648.58,25633.98,6958.07,7684.09,60681.35,35673.22,25633.98,6967.86,7685.42,60686.91,35671.06,25650.41,6972.11,7684.09,60649.32,35656.41,25621.17,6972.24,7684.09,60643.19,35645.93,25621.17,6964.58
2024-05-27,7673.32,60346.41,34873.01,25629.55,6406.36,7673.32,60366.73,34900.32,25629.55,6414.21,7673.51,60348.67,34882.66,25629.55,6415.42,7673.32,60381.49,34896.13,25629.55,6403.11,7673.90,60366.97,34893.20,25629.55,6417.33,7674.09,60384.66,34905.58,25629.55,6412.61,7675.02,60394.65,34902.65,25629.55,6416.47,7672.55,60363.99,34889.14,25629.55,6402.32,7671.37,60355.47,34877.22,25629.55,6396.51
2024-05-28,7555.44,59261.29,33161.97,25510.88,5757.38,7555.44,59288.04,33175.42,25515.49,5746.50,7555.44,59266.27,33159.77,25510.88,5754.84,7554.75,59295.60,33175.88,25515.49,5747.25,7555.71,59287.21,33163.80,25515.49,5748.13,7555.71,59302.97,33173.52,25515.49,5742.95,7554.53,59314.15,33167.29,25515.49,5747.00,7555.51,59275.35,33177.65,25515.49,5752.21,7555.10,59265.64,33167.59,25515.49,5749.43
2024-05-29,7532.12,58644.54,32630.91,25027.11,5664.16,7532.12,58658.79,32640.78,25030.96,5662.22,7532.12,58647.34,32629.68,25030.96,5664.69,7533.91,58688.36,32652.91,25086.63,5660.85,7533.91,58677.16,32638.17,25086.74,5660.54,7533.91,58694.34,32653.71,25086.74,5657.90,7533.97,58722.64,32657.71,25130.31,5662.58,7532.12,58649.36,32643.94,25000.36,5667.93,7532.12,58649.01,32645.21,25000.36,5661.43
2024-05-30,7602.22,59024.17,33485.31,24337.13,6028.77,7602.19,59052.80,33504.60,24350.44,6025.27,7602.19,59036.84,33490.71,24352.28,6024.07,7604.25,59091.62,33534.21,24445.70,6032.45,7604.51,59075.85,33517.99,24450.79,6034.84,7604.84,59096.67,33533.67,24450.79,6031.95,7606.85,59145.55,33560.01,24580.59,6038.65,7601.76,59033.99,33499.16,24276.55,6029.48,7601.76,59021.60,33484.09,24260.80,6018.92
2024-05-31,7671.04,59511.90,34173.90,23989.70,6344.07,7671.04,59545.12,34193.73,24001.28,6335.81,7671.04,59529.68,34183.95,24004.67,6342.75,7671.04,59602.14,34250.47,24146.46,6356.69,7671.04,59607.06,34251.56,24153.04,6361.33,7671.04,59613.82,34253.27,24159.41,6357.01,7671.52,59701.54,34339.40,24433.93,6394.72,7670.04,59511.50,34170.90,23915.55,6334.31,7670.04,59494.27,34150.84,23894.55,6317.91
