time,region,min,max,mean
2024-08-02 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-08-02 16:30:00,Sacramento River,0.0,0.1,0.0
2024-08-02 16:30:00,East Delta,0.0,0.1,0.0
2024-08-02 16:30:00,Lower Sacramento River,0.1,1.0,0.3
2024-08-02 16:30:00,South Delta,0.0,0.9,0.1
2024-08-02 16:30:00,Suisun Marsh,0.4,7.2,4.4
2024-08-02 16:30:00,Confluence,0.2,3.7,1.3
2024-08-02 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-08-02 16:30:00,SW Suisun,8.8,14.2,12.0
2024-08-02 16:30:00,SE Suisun,2.3,13.1,5.6
